STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DONOR,Donor,RECIPIENT,Recipient,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,CYP,Cyprus,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,4.9,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1638,Margaret A. Cargill Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,53.59,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1638,Margaret A. Cargill Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,53.24,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9OTH019,Nordic Development Fund [NDF],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,34.4,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9OTH019,Nordic Development Fund [NDF],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,66.01,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9OTH019,Nordic Development Fund [NDF],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,72.79,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9OTH019,Nordic Development Fund [NDF],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,41.74,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9OTH019,Nordic Development Fund [NDF],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2023,,40.3,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,ISL,Iceland,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,72.41,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,ISL,Iceland,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,58.85,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1601,Bill & Melinda Gates Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,4395.51,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1601,Bill & Melinda Gates Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,4217.4,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1601,Bill & Melinda Gates Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,5026.73,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1601,Bill & Melinda Gates Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,4253.86,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1613,Laudes Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,42.01,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1613,Laudes Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,48.87,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1613,Laudes Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,26.37,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1613,Laudes Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,49.48,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,5RDB009,Islamic Development Bank [IsDB],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,289.7,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,5RDB009,Islamic Development Bank [IsDB],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,310.82,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,5RDB009,Islamic Development Bank [IsDB],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,326.98,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,5RDB009,Islamic Development Bank [IsDB],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,240.36,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1638,Margaret A. Cargill Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,47.13,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1638,Margaret A. Cargill Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,50.1,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,IRL,Ireland,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,570.66,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,IRL,Ireland,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,1824.49,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,IRL,Ireland,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,589.89,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1621,Michael & Susan Dell Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,67.45,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1621,Michael & Susan Dell Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,40.07,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1621,Michael & Susan Dell Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,47.35,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1621,Michael & Susan Dell Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,47.08,,2022,,6,Millions
